pid	DOB	status	status_date	sex
117	1983-04-14	dead	1999-04-09	F
118	1971-09-03	alive	2016-12-31	M
119	1982-06-20	dead	2003-01-09	F
120	1941-03-19	dead	2013-06-02	M
121	1965-09-18	dead	1985-09-28	F
122	1940-04-20	alive	2016-12-31	M
123	1958-12-30	alive	2016-12-31	F
124	1945-01-10	dead	2015-04-15	M
125	1994-06-02	dead	1970-07-13	F
126	1964-12-03	dead	2009-10-06	M
127	1993-09-12	dead	1989-01-02	F
128	1954-11-04	dead	1996-01-30	M
129	1941-09-04	dead	1964-07-06	F
130	2003-06-24	dead	2000-01-01	M
131	1941-05-26	dead	1987-04-09	F
133	1994-06-09	dead	1994-09-16	F
134	2006-08-06	alive	2016-12-31	M
135	1989-03-04	alive	2016-12-31	F
136	1984-03-28	dead	1986-11-08	M
137	1963-06-13	dead	1976-09-22	F
138	1994-11-05	dead	2000-12-30	M
139	1993-02-15	dead	1987-01-16	F
140	1996-06-20	dead	2008-10-02	M
141	1994-12-13	dead	1961-09-03	F
142	1965-06-28	dead	1965-04-15	M
143	1944-06-19	dead	2007-06-07	F
144	1988-04-06	dead	1990-02-27	M
145	1945-03-22	dead	1971-10-07	F
146	1950-05-29	dead	1980-05-25	M
147	1943-10-27	dead	2007-07-30	F
148	2001-03-23	dead	1960-08-21	M
149	2007-01-22	dead	1971-07-21	F
150	1990-03-09	dead	1990-12-14	M
151	2009-07-08	dead	2002-09-28	F
152	1947-10-22	dead	2006-05-30	M
153	1968-05-23	dead	2008-07-16	F
154	1947-08-13	dead	1977-06-21	M
155	1952-01-05	dead	1984-07-10	F
156	1953-01-05	dead	2008-04-09	M
157	1965-06-03	dead	1989-11-15	F
158	1983-10-08	alive	2016-12-31	M
159	1973-04-15	dead	2000-10-28	F
160	1953-10-03	alive	2016-12-31	M
161	1943-10-18	dead	2000-02-10	F
162	2000-05-23	dead	1980-03-06	M
163	1947-10-01	dead	1967-08-10	F
164	1954-06-12	dead	2001-02-20	M
165	1988-07-07	dead	2009-10-23	F
166	1963-11-17	dead	1974-01-11	M
167	1950-12-20	dead	2010-06-26	F
168	1997-05-15	dead	2013-02-26	M
169	2004-01-31	dead	1993-02-28	F
170	1986-02-06	dead	1989-10-03	M
171	1946-02-13	dead	1991-10-06	F
172	1986-09-13	dead	2004-07-30	M
173	2000-01-27	dead	2012-05-24	F
174	1942-08-01	dead	2015-08-25	M
175	1962-04-30	dead	2005-04-14	F
176	1981-08-02	dead	2003-12-31	M
177	1980-05-10	dead	1971-04-07	F
178	1954-11-16	dead	1987-02-18	M
179	2006-09-16	alive	2016-12-31	F
180	1944-06-13	dead	2009-11-04	M
181	1976-08-07	alive	2016-12-31	F
182	2005-02-13	dead	1984-11-21	M
183	1969-01-04	dead	1967-07-10	F
184	1968-02-03	dead	1966-06-13	M
185	2008-03-07	dead	1974-10-18	F
186	1965-10-30	dead	1981-08-04	M
187	1948-02-17	alive	2016-12-31	F
188	1962-03-11	dead	2008-09-22	M
189	1993-02-27	dead	2006-04-08	F
190	1993-10-03	dead	2016-04-26	M
191	2008-07-01	dead	1985-08-31	F
192	1985-05-01	dead	1998-10-13	M
193	1994-05-10	dead	1989-05-25	F
194	1965-01-20	alive	2016-12-31	M
195	1941-02-19	dead	1967-04-10	F
196	2007-07-10	dead	1960-11-30	M
197	1974-10-12	dead	2009-08-26	F
198	1953-04-20	dead	1989-07-10	M
199	1991-06-01	alive	2016-12-31	F
200	1992-04-08	dead	2000-02-06	M
201	2008-11-02	alive	2016-12-31	F
202	1960-06-01	dead	1966-02-03	M
203	1948-01-16	dead	1976-02-26	F
204	1960-04-04	dead	1968-05-26	M
205	1941-11-08	alive	2016-12-31	F
206	1966-06-27	dead	1993-04-19	M
207	1959-11-04	alive	2016-12-31	F
208	1961-02-27	alive	2016-12-31	M
209	1953-01-03	dead	2011-10-13	F
210	1987-08-27	dead	1971-10-12	M
211	2005-06-18	dead	1989-01-08	F
212	1956-01-01	dead	2012-05-04	M
213	1971-01-27	dead	1969-11-24	F
214	1995-01-01	alive	2016-12-31	M
215	1966-12-19	dead	1962-11-04	F
216	1978-09-15	alive	2016-12-31	M
217	2005-11-26	dead	1977-07-07	F
218	2005-02-07	dead	1965-03-05	M
219	1981-03-12	alive	2016-12-31	F
220	1989-01-31	dead	1975-03-31	M
221	2006-11-21	alive	2016-12-31	F
222	1992-03-26	alive	2016-12-31	M
223	1951-10-11	dead	1966-10-14	F
224	1955-10-20	dead	2001-01-04	M
225	2005-04-05	dead	1970-12-12	F
226	2007-09-23	dead	1964-02-14	M
227	1983-04-27	dead	2007-08-27	F
228	1969-06-04	dead	1985-03-18	M
229	1964-01-25	dead	1999-06-25	F
230	1940-10-23	alive	2016-12-31	M
231	1991-12-18	dead	2005-06-20	F
232	2009-10-06	dead	1986-07-21	M
233	1989-02-09	dead	1970-08-26	F
234	2004-05-17	dead	1995-09-24	M
235	1989-02-25	alive	2016-12-31	F
236	1958-12-11	alive	2016-12-31	M
237	1978-04-19	alive	2016-12-31	F
238	1996-09-23	dead	1964-01-20	M
239	2004-10-13	dead	1997-04-21	F
240	1994-01-08	dead	1971-11-19	M
241	1973-11-17	dead	1994-12-26	F
242	1949-05-02	dead	1995-07-23	M
243	1970-04-22	dead	1989-09-20	F
244	1956-07-12	dead	1973-05-08	M
245	1957-04-09	dead	1977-01-31	F
246	1988-08-23	dead	1972-03-23	M
247	1993-07-18	alive	2016-12-31	F
248	1968-04-13	dead	1972-01-16	M
249	1944-12-17	alive	2016-12-31	F
250	1978-04-06	dead	2006-01-07	M
251	1961-07-17	dead	1987-06-06	F
252	1994-01-11	alive	2016-12-31	M
253	2006-10-26	dead	1961-07-16	F
254	1981-10-22	dead	2007-05-13	M
255	1988-08-25	dead	2015-05-12	F
256	1979-04-13	alive	2016-12-31	M
257	1995-06-21	alive	2016-12-31	F
258	1985-10-25	dead	1993-03-19	M
259	1948-01-09	alive	2016-12-31	F
260	1941-06-06	dead	1985-04-03	M
261	1944-06-16	dead	1978-03-09	F
262	1984-04-07	dead	2006-01-21	M
263	1973-06-20	alive	2016-12-31	F
264	1960-02-29	dead	1978-01-29	M
265	1964-09-13	alive	2016-12-31	F
266	1986-08-17	dead	1976-07-21	M
267	1954-09-25	dead	2000-11-22	F
268	2005-10-30	dead	1965-07-29	M
269	1944-11-29	dead	2002-03-27	F
271	1991-05-19	dead	1966-05-07	F
272	1996-06-13	dead	1987-10-08	M
274	2007-02-15	dead	1974-08-20	M
275	1946-10-26	dead	1989-06-14	F
276	1965-11-30	dead	2013-09-23	M
277	1980-12-14	dead	1962-01-16	F
278	1978-09-10	dead	2015-10-11	M
279	1975-01-25	dead	2009-04-03	F
280	1960-12-31	alive	2016-12-31	M
281	1944-12-13	dead	2015-05-31	F
282	1981-11-28	dead	1971-03-15	M
283	1941-07-24	dead	2010-08-18	F
284	1967-09-22	dead	1970-08-04	M
285	1971-09-27	dead	2000-03-24	F
286	1976-09-10	dead	1998-03-09	M
287	1988-03-20	dead	1992-03-31	F
288	1971-09-08	dead	2015-03-03	M
289	1962-09-22	alive	2016-12-31	F
290	1991-11-20	dead	2015-11-03	M
291	1987-06-26	alive	2016-12-31	F
292	1993-01-06	dead	1968-02-25	M
293	1999-02-06	dead	1994-01-29	F
295	1943-08-07	dead	2002-09-23	F
296	1968-04-24	dead	1983-10-24	M
297	1945-11-12	dead	1987-01-31	F
298	1943-11-13	dead	1962-03-26	M
299	1955-04-11	dead	1980-02-17	F
301	1960-06-13	dead	2002-03-10	F
302	2000-05-04	dead	2002-07-24	M
303	2004-07-24	dead	1985-03-01	F
304	2008-02-04	alive	2016-12-31	M
305	1950-05-22	dead	1998-09-07	F
306	1997-01-18	dead	1995-09-11	M
307	1949-04-26	dead	1994-04-18	F
308	1976-01-21	dead	2008-05-15	M
310	1983-01-26	dead	1975-06-05	M
311	1944-02-28	dead	2006-05-23	F
312	1940-02-12	dead	1982-08-29	M
313	1972-01-07	dead	1981-05-23	F
314	2006-09-30	dead	2015-04-25	M
315	1995-02-12	dead	1975-02-18	F
316	2004-06-16	dead	1999-03-26	M
317	1940-12-07	dead	1989-08-19	F
318	2000-04-07	dead	1997-04-20	M
319	2008-11-09	alive	2016-12-31	F
320	1986-07-17	dead	1981-08-10	M
321	1972-09-28	alive	2016-12-31	F
322	1994-03-21	dead	1997-10-02	M
325	1983-09-08	alive	2016-12-31	F
326	1995-12-20	dead	1995-06-13	M
327	1961-01-18	dead	2001-09-02	F
328	2008-11-11	dead	1960-11-13	M
329	1952-08-01	dead	1971-10-15	F
330	1943-03-09	dead	1973-07-23	M
331	1992-10-13	dead	2004-09-25	F
332	1956-09-07	alive	2016-12-31	M
333	2009-05-29	dead	2003-08-15	F
335	1945-12-03	dead	1985-08-28	F
336	1941-11-03	alive	2016-12-31	M
337	1940-03-13	alive	2016-12-31	F
338	1987-04-07	alive	2016-12-31	M
339	1965-05-27	alive	2016-12-31	F
340	1988-05-24	dead	1971-03-14	M
341	1952-06-26	dead	2007-08-31	F
342	2002-01-01	dead	1978-01-28	M
343	2006-08-02	dead	1994-03-25	F
344	2001-12-29	dead	1988-06-02	M
345	1950-11-07	alive	2016-12-31	F
346	1977-06-18	dead	1975-07-04	M
348	1951-02-28	dead	1966-10-29	M
349	1980-06-23	dead	1980-12-20	F
350	1958-03-23	dead	1988-07-16	M
352	1979-08-28	alive	2016-12-31	M
353	1946-07-30	dead	2014-06-15	F
354	1979-09-08	dead	1982-07-24	M
355	1982-08-19	alive	2016-12-31	F
356	1976-02-11	dead	1992-09-19	M
357	1963-12-08	dead	1986-06-13	F
358	2003-09-10	dead	1990-12-25	M
359	1986-06-03	dead	1967-09-04	F
360	1966-06-10	dead	2006-11-25	M
361	1985-01-31	dead	1997-10-01	F
362	1991-10-15	dead	2016-02-10	M
363	1952-02-05	dead	2000-06-13	F
364	1947-11-28	dead	1977-09-23	M
365	1954-02-04	dead	1978-04-17	F
366	2006-09-02	dead	1982-03-19	M
367	1948-03-12	dead	2006-08-09	F
368	1972-10-31	alive	2016-12-31	M
369	1972-05-06	dead	1984-12-01	F
370	2004-09-23	dead	1983-12-14	M
371	2001-03-19	dead	1977-10-24	F
372	1944-05-26	dead	1969-12-01	M
373	1983-10-15	dead	1977-11-12	F
374	1974-03-19	dead	2006-07-29	M
375	1942-03-19	dead	2006-03-19	F
376	1942-09-01	dead	1993-03-14	M
377	1986-10-13	dead	1962-08-18	F
378	1988-10-28	dead	2004-03-01	M
379	1974-06-12	dead	1981-09-08	F
380	1945-12-25	alive	2016-12-31	M
381	1940-06-27	dead	1971-06-29	F
382	1943-03-22	alive	2016-12-31	M
383	1988-01-15	alive	2016-12-31	F
384	1978-05-24	dead	1984-11-05	M
385	1961-02-07	dead	1966-09-12	F
386	1947-05-06	dead	1963-09-09	M
387	1997-06-05	dead	1999-12-18	F
388	1941-12-14	dead	1975-07-12	M
389	1982-03-09	alive	2016-12-31	F
390	1980-06-24	dead	1961-03-04	M
391	2001-08-10	dead	1967-09-29	F
392	1975-11-15	dead	2009-07-22	M
393	1949-10-25	dead	2005-05-14	F
394	2002-05-11	dead	1979-12-20	M
395	1966-11-21	dead	1961-01-20	F
396	1946-03-25	dead	2006-05-27	M
398	2006-09-09	dead	1967-01-26	M
399	1981-01-21	alive	2016-12-31	F
400	1955-10-16	alive	2016-12-31	M
401	1985-06-30	dead	1978-04-22	F
402	1984-06-05	dead	1981-09-15	M
403	1952-03-14	dead	2009-08-27	F
404	1982-01-16	dead	1982-02-09	M
405	1956-12-05	dead	1999-11-12	F
406	1998-06-01	dead	2002-07-26	M
407	1954-03-11	dead	2016-02-28	F
408	2006-06-27	dead	2000-12-13	M
409	1965-03-24	dead	2013-06-30	F
410	1993-01-08	dead	1997-12-15	M
411	1950-01-22	dead	2014-12-17	F
412	2001-06-16	alive	2016-12-31	M
413	1957-04-21	dead	2002-02-19	F
414	2002-08-12	dead	1987-06-04	M
415	1999-11-12	alive	2016-12-31	F
416	1973-07-24	dead	2010-10-06	M
417	1982-06-19	dead	1992-02-23	F
418	1953-12-08	dead	1997-03-13	M
419	1944-08-11	dead	2010-11-21	F
421	1966-04-14	dead	1982-12-21	F
422	1960-02-18	dead	2006-03-16	M
423	1978-10-13	dead	2014-07-06	F
424	1998-07-03	dead	1991-08-01	M
425	2009-07-16	dead	2015-05-06	F
426	1991-03-29	dead	2004-10-12	M
427	1996-06-29	dead	2004-10-02	F
429	1965-12-18	dead	1964-12-05	F
430	1963-01-10	dead	1984-08-12	M
431	1975-06-19	dead	1979-02-23	F
432	1973-09-13	alive	2016-12-31	M
433	1981-02-09	dead	1972-09-27	F
434	1999-10-10	dead	1968-06-15	M
435	1960-03-25	alive	2016-12-31	F
436	1956-01-29	dead	1991-06-02	M
437	1967-10-10	dead	1966-08-27	F
438	1970-02-19	alive	2016-12-31	M
439	1981-02-13	alive	2016-12-31	F
441	2003-07-03	dead	1998-08-10	F
442	2006-08-13	alive	2016-12-31	M
443	1958-07-15	alive	2016-12-31	F
444	1965-12-16	dead	1983-09-01	M
446	1941-09-06	dead	1982-05-02	M
447	2004-02-15	dead	2000-04-05	F
448	1964-04-04	alive	2016-12-31	M
449	1970-10-17	dead	2013-07-18	F
450	1951-03-21	dead	1978-07-27	M
451	1972-07-16	dead	2010-08-04	F
452	1972-04-27	dead	1972-02-16	M
453	1960-04-24	alive	2016-12-31	F
454	1974-02-03	dead	1986-06-29	M
455	2006-04-30	dead	1961-05-18	F
456	1975-07-25	dead	1967-03-03	M
457	1976-02-22	dead	1983-10-27	F
458	2009-03-19	alive	2016-12-31	M
459	1969-07-31	dead	2015-03-02	F
460	1972-07-10	dead	2013-03-24	M
461	1979-07-31	dead	1962-03-02	F
462	1947-03-15	dead	1996-11-12	M
463	1957-01-27	alive	2016-12-31	F
464	1968-01-30	alive	2016-12-31	M
465	1972-02-05	dead	1980-08-15	F
466	1951-09-07	dead	1998-06-03	M
469	1964-11-17	dead	1971-12-20	F
471	1973-05-28	alive	2016-12-31	F
472	2003-04-20	dead	2006-07-09	M
473	1974-05-19	dead	1980-12-30	F
474	1969-10-04	dead	1986-08-30	M
475	2000-01-17	dead	1977-09-18	F
476	2008-03-13	dead	1968-02-12	M
477	1942-01-12	dead	2007-06-22	F
478	2001-04-18	alive	2016-12-31	M
479	2000-10-09	dead	2007-10-12	F
480	2002-12-25	dead	2005-10-08	M
481	2006-11-01	dead	1960-09-09	F
482	1945-05-24	dead	1999-02-13	M
483	1983-10-30	dead	1966-10-15	F
484	2004-10-26	dead	2003-12-14	M
485	1964-11-22	dead	2013-05-07	F
486	1964-05-23	dead	1961-11-03	M
487	1940-07-27	dead	2010-03-26	F
488	1998-03-07	dead	1999-06-02	M
489	2009-01-12	dead	2016-01-04	F
490	1976-02-29	dead	2001-10-18	M
491	1971-01-28	dead	1968-08-09	F
492	1948-12-31	dead	1999-01-26	M
493	1945-03-12	dead	1994-09-19	F
494	1965-04-20	dead	1960-08-31	M
495	1982-04-25	dead	1966-05-14	F
496	1975-05-06	dead	1991-08-18	M
497	1943-03-03	alive	2016-12-31	F
498	1971-04-22	dead	1997-02-28	M
499	2006-02-21	dead	2007-11-23	F
500	1962-10-25	dead	2008-04-20	M
501	1988-11-24	alive	2016-12-31	F
502	2006-01-25	alive	2016-12-31	M
503	1970-02-04	dead	2007-11-30	F
504	1986-04-07	dead	1998-11-20	M
505	1954-09-11	alive	2016-12-31	F
506	2004-04-21	dead	1998-04-01	M
507	1965-11-23	dead	1968-12-05	F
508	1959-01-18	dead	2013-09-09	M
509	1990-10-15	dead	1975-05-28	F
510	1996-10-07	dead	2003-07-19	M
511	1973-09-25	alive	2016-12-31	F
512	1949-10-17	alive	2016-12-31	M
513	1986-02-05	dead	1969-10-05	F
515	2001-10-26	dead	2007-10-30	F
516	1952-04-13	dead	1973-07-14	M
517	1981-11-16	alive	2016-12-31	F
518	1999-01-21	dead	1972-08-28	M
519	1973-07-03	dead	1980-07-30	F
520	1973-09-10	alive	2016-12-31	M
521	1981-10-28	alive	2016-12-31	F
522	1983-10-29	dead	1982-10-21	M
523	1944-08-20	dead	2008-09-17	F
524	1987-06-17	dead	1999-08-20	M
525	1941-03-22	alive	2016-12-31	F
526	1956-11-22	dead	2012-02-27	M
528	1943-08-20	dead	1975-06-27	M
529	1967-02-14	dead	2003-07-20	F
530	1998-12-14	alive	2016-12-31	M
531	1992-02-01	dead	1999-02-02	F
532	1997-11-19	dead	1979-07-13	M
533	1972-01-03	dead	2006-02-03	F
534	1952-01-19	dead	1972-02-23	M
535	1989-05-08	dead	1987-09-20	F
536	1962-01-22	dead	1973-01-06	M
537	1966-08-03	alive	2016-12-31	F
538	1989-03-07	dead	2016-12-20	M
539	1943-01-26	dead	1977-07-04	F
540	1987-08-25	dead	2001-10-21	M
541	2005-12-15	dead	1969-01-22	F
542	1945-07-11	dead	1979-05-19	M
543	1963-04-30	dead	2014-03-01	F
544	1948-04-18	alive	2016-12-31	M
545	1977-09-26	alive	2016-12-31	F
546	1980-09-03	dead	1987-04-16	M
548	2006-05-02	dead	1983-08-10	M
549	1964-04-07	dead	1981-05-12	F
550	1972-08-12	dead	2006-09-20	M
551	2000-09-21	dead	1981-07-28	F
552	1995-06-25	dead	1972-09-20	M
553	1980-11-02	dead	1961-10-06	F
554	1949-08-11	alive	2016-12-31	M
555	1987-03-09	dead	1975-12-22	F
556	1962-02-24	dead	2007-09-30	M
557	1964-04-05	dead	1961-03-31	F
558	1963-12-25	dead	1993-03-31	M
559	1994-05-03	dead	1999-08-13	F
560	1941-02-16	dead	1984-03-27	M
561	1996-03-11	alive	2016-12-31	F
562	2001-02-07	dead	2007-01-02	M
563	1987-02-07	dead	2004-07-14	F
564	1993-08-10	alive	2016-12-31	M
566	1968-12-15	dead	2015-09-08	M
567	2004-08-13	dead	1973-08-13	F
568	1948-11-11	dead	1984-03-08	M
569	1991-03-08	dead	1983-09-29	F
570	1947-07-07	dead	2006-12-30	M
571	2009-01-10	alive	2016-12-31	F
572	1996-07-09	dead	1978-11-14	M
573	1948-11-17	dead	1969-10-25	F
574	2006-08-12	alive	2016-12-31	M
575	1994-12-16	dead	2004-03-12	F
577	1956-01-06	alive	2016-12-31	F
578	2008-10-19	dead	1983-07-06	M
579	1949-06-13	dead	1975-12-19	F
580	1957-08-19	alive	2016-12-31	M
581	2003-06-06	alive	2016-12-31	F
582	1963-04-03	dead	1970-10-11	M
583	1965-07-08	dead	2012-04-21	F
584	1965-09-23	dead	1963-07-02	M
585	1998-09-21	dead	1970-05-21	F
587	2006-10-05	dead	1961-10-14	F
588	1943-04-14	dead	1983-01-19	M
589	1987-07-08	dead	2008-03-30	F
590	1942-10-25	dead	1984-07-16	M
591	1982-08-02	dead	1963-08-07	F
592	1953-03-30	dead	1966-10-04	M
593	1950-02-03	dead	1979-07-16	F
595	1968-09-08	dead	2001-11-02	F
596	1976-04-15	dead	1961-05-19	M
597	1982-12-04	dead	2004-10-20	F
598	1971-08-12	dead	1992-01-30	M
599	1953-12-12	dead	1987-11-08	F
600	1977-08-24	dead	2009-12-29	M
601	1963-04-18	dead	2005-08-07	F
602	2003-01-01	dead	1974-09-25	M
603	1948-09-24	dead	1979-12-02	F
604	2003-11-05	dead	2001-03-15	M
606	1992-07-05	dead	1992-01-13	M
607	2001-06-02	dead	1963-12-08	F
608	1947-08-21	dead	1975-12-09	M
609	1951-03-28	dead	1983-09-12	F
610	1975-10-06	dead	2007-08-04	M
611	1949-09-22	dead	1969-01-31	F
612	1993-08-15	dead	2006-09-13	M
613	1946-12-01	dead	2008-07-22	F
614	1960-11-14	dead	1966-02-17	M
615	1991-11-30	dead	1989-12-31	F
616	1953-02-02	dead	1967-04-12	M
617	1968-03-02	dead	2011-10-17	F
618	1986-04-29	dead	1975-12-27	M
619	1991-12-14	dead	2012-04-08	F
620	1949-11-03	alive	2016-12-31	M
621	2006-02-19	dead	2012-01-03	F
622	2003-08-21	alive	2016-12-31	M
623	2005-10-08	dead	1989-04-04	F
624	2003-12-01	alive	2016-12-31	M
625	1989-03-06	dead	1984-10-03	F
626	1956-11-27	dead	2013-04-27	M
627	1975-03-30	dead	1972-02-07	F
628	1978-02-28	dead	1983-02-22	M
629	1952-07-05	dead	1998-10-29	F
630	1942-02-23	dead	1971-01-11	M
631	1997-04-05	dead	1961-10-03	F
632	1962-02-14	alive	2016-12-31	M
633	1994-11-15	dead	1968-07-09	F
635	2009-12-10	dead	1998-06-24	F
636	1977-02-03	dead	2008-04-02	M
637	2004-02-03	alive	2016-12-31	F
638	1963-02-08	dead	1965-09-02	M
640	1988-04-12	dead	2014-09-01	M
641	1978-10-18	dead	1995-03-06	F
642	1982-04-23	dead	1991-06-15	M
643	1979-07-17	dead	2007-01-23	F
644	1994-03-13	alive	2016-12-31	M
645	1990-03-23	alive	2016-12-31	F
646	1955-12-23	dead	2007-01-10	M
648	1988-09-02	dead	1981-09-05	M
651	2006-03-07	alive	2016-12-31	F
652	1950-11-13	alive	2016-12-31	M
653	2003-12-10	dead	1967-09-12	F
654	2001-08-21	dead	2005-01-31	M
655	1989-12-17	dead	1965-07-07	F
656	1989-09-24	alive	2016-12-31	M
657	1949-06-01	dead	1960-01-31	F
658	1952-02-02	dead	1973-07-22	M
659	1960-10-24	dead	1969-09-21	F
660	1972-03-05	alive	2016-12-31	M
661	1967-08-03	alive	2016-12-31	F
662	1944-10-18	dead	2011-09-25	M
663	1941-05-30	dead	1994-07-15	F
664	1985-05-24	dead	2012-03-01	M
665	1947-09-15	dead	2013-06-09	F
666	1996-02-27	alive	2016-12-31	M
667	2001-03-01	dead	2013-10-22	F
668	2003-06-05	dead	1961-09-06	M
669	1947-11-10	alive	2016-12-31	F
670	2003-06-10	dead	2006-11-13	M
671	1967-03-01	alive	2016-12-31	F
672	1975-07-22	dead	1960-11-04	M
673	1971-08-30	alive	2016-12-31	F
674	1977-01-09	dead	2015-06-09	M
675	1987-01-09	alive	2016-12-31	F
676	1973-05-23	dead	2014-09-20	M
678	1956-03-11	alive	2016-12-31	M
679	1968-01-19	alive	2016-12-31	F
680	1991-03-15	dead	1990-10-22	M
681	1948-08-16	dead	1964-07-18	F
682	1946-05-26	dead	1998-06-21	M
683	1946-06-04	dead	1989-11-22	F
684	1968-02-20	dead	2002-03-07	M
685	1999-11-25	dead	2010-07-03	F
686	2007-08-21	dead	1989-04-09	M
687	1992-02-23	dead	1963-05-08	F
689	1973-05-03	dead	1961-05-31	F
690	1970-10-29	dead	1996-07-10	M
691	1944-10-13	dead	1966-11-04	F
692	1996-06-11	alive	2016-12-31	M
693	1956-08-29	dead	1986-12-31	F
695	1990-07-21	dead	1960-04-29	F
696	1989-10-15	dead	1964-06-21	M
697	1964-12-16	dead	1992-01-04	F
698	1947-12-30	dead	1973-10-22	M
699	1943-12-16	dead	1997-08-02	F
700	2002-12-09	dead	1977-09-09	M
701	1980-04-12	alive	2016-12-31	F
703	1976-11-08	dead	1975-02-12	F
704	1967-05-10	dead	2012-07-10	M
705	1995-04-23	dead	2013-05-14	F
706	2008-09-17	dead	1988-11-19	M
707	1953-06-11	dead	2003-04-25	F
708	2000-02-01	dead	2016-10-05	M
709	1996-08-19	alive	2016-12-31	F
710	1991-05-25	alive	2016-12-31	M
711	1990-09-23	dead	1972-06-22	F
